year,numberPoster,platform
2014,103,Zenodo
2015,215,Zenodo
2016,462,Zenodo
2017,757,Zenodo
2018,1417,Zenodo
2019,1877,Zenodo
2020,2481,Zenodo
2021,3295,Zenodo
2022,4439,Zenodo
2023,4233,Zenodo
2024,5455,Zenodo
2012,181,Figshare
2013,480,Figshare
2014,897,Figshare
2015,646,Figshare
2016,789,Figshare
2017,1102,Figshare
2018,866,Figshare
2019,1046,Figshare
2020,2101,Figshare
2021,1249,Figshare
2022,1369,Figshare
2023,1840,Figshare
2024,1821,Figshare
2010,702,F1000Research
2011,1815,F1000Research
2012,1391,F1000Research
2013,1357,F1000Research
2014,1645,F1000Research
2015,1336,F1000Research
2016,1414,F1000Research
2017,774,F1000Research
2018,578,F1000Research
2019,807,F1000Research
2020,311,F1000Research
2021,159,F1000Research
2022,227,F1000Research
2023,157,F1000Research
2024,190,F1000Research
2013,3,NTRS
2014,1,NTRS
2015,1,NTRS
2016,1,NTRS
2017,3,NTRS
2018,8,NTRS
2019,327,NTRS
2020,519,NTRS
2021,332,NTRS
2022,584,NTRS
2023,762,NTRS
2024,781,NTRS
