doi,doi_url,repository_url,is_open_access,authors_count,authors_affiliation_count,authors_familyname_count,authors_givennames_count,authors_gnd_count,authors_name_count,authors_orcid_count,has_funding_info,has_journal,keywords_freetext_count,keywords_controlled_vocabularies_count,has_language,has_license,license_name,has_conference_acronym,has_conference_dates,has_conference_place,has_conference_session,has_conference_session_part,has_conference_title,has_conference_website,has_creation_date,creation_date,has_other_dates,other_dates,references_no_identifiers_count,references_with_identifiers_count,has_title,has_version,files
10.5281/zenodo.14020087,https://doi.org/10.5281/zenodo.14020087,https://zenodo.org/records/14020087,True,3,3,0,0,0,3,2,False,False,0,0,False,True,cc-by-4.0,True,True,True,False,False,True,False,True,2024-10-31T23:59:52.972111+00:00,False,NA,0,0,True,False,P138.pdf
10.5281/zenodo.14011009,https://doi.org/10.5281/zenodo.14011009,https://zenodo.org/records/14011009,True,3,3,0,0,0,3,3,False,False,0,1,False,True,cc-by-4.0,True,True,True,False,False,True,True,True,2024-10-31T20:04:17.389888+00:00,False,NA,0,1,True,False,poster_USRSE24_teachingRSE.pdf
10.5281/zenodo.13994006,https://doi.org/10.5281/zenodo.13994006,https://zenodo.org/records/13994006,True,9,8,0,0,0,9,0,False,False,17,0,True,True,cc-by-4.0,True,True,True,False,False,True,True,True,2024-10-31T20:02:58.824709+00:00,False,NA,17,0,True,False,TrustwrothyML-US-RSE-Poster.pdf
10.5281/zenodo.13936581,https://doi.org/10.5281/zenodo.13936581,https://zenodo.org/records/13936581,True,1,0,0,0,0,1,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T17:13:25.287875+00:00,False,NA,0,0,True,False,"ENRA poster_Can plant, soil interactions be a controller on GHG emissions from soils.pdf"
10.5281/zenodo.14018039,https://doi.org/10.5281/zenodo.14018039,https://zenodo.org/records/14018039,True,2,2,0,0,0,2,2,True,False,0,0,False,True,cc-by-sa-4.0,True,True,True,True,True,True,True,True,2024-10-31T15:32:07.454271+00:00,False,NA,0,0,True,False,PS2.3_Zeneli_TPV15.pdf
10.5281/zenodo.14018077,https://doi.org/10.5281/zenodo.14018077,https://zenodo.org/records/14018077,True,4,4,0,0,0,4,3,True,False,0,0,False,True,cc-by-sa-4.0,True,True,True,True,True,True,True,True,2024-10-31T15:31:33.453975+00:00,False,NA,0,0,True,False,PS1.13_Milovich_TPV15.pdf
10.5281/zenodo.14018072,https://doi.org/10.5281/zenodo.14018072,https://zenodo.org/records/14018072,True,3,3,0,0,0,3,1,False,False,13,0,False,True,cc-by-4.0,True,True,True,False,False,True,False,True,2024-10-31T13:42:13.325029+00:00,False,NA,13,0,True,False,P209.pdf
10.5281/zenodo.14014689,https://doi.org/10.5281/zenodo.14014689,https://zenodo.org/records/14014689,True,12,11,0,0,0,12,1,False,False,5,0,False,True,cc-by-4.0,True,True,True,False,False,True,False,True,2024-10-31T13:20:21.860592+00:00,False,NA,5,0,True,False,P211.pdf
10.5281/zenodo.13774688,https://doi.org/10.5281/zenodo.13774688,https://zenodo.org/records/13774688,True,4,4,0,0,0,4,4,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T12:58:00.629946+00:00,False,NA,0,0,True,False,P083_proceedings.pdf
10.5281/zenodo.14017479,https://doi.org/10.5281/zenodo.14017479,https://zenodo.org/records/14017479,True,4,4,0,0,0,4,3,True,False,0,0,False,True,cc-by-sa-4.0,True,True,True,True,True,True,True,True,2024-10-31T12:41:11.204048+00:00,False,NA,0,0,True,False,PS1.13_Milovich_TPV15.pdf
10.5281/zenodo.14017412,https://doi.org/10.5281/zenodo.14017412,https://zenodo.org/records/14017412,True,2,2,0,0,0,2,1,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T11:59:08.778096+00:00,True,{'type': 'available'},0,0,True,False,Poster-SEA-2024-Dwarfs4MOSAIC_FINAL.pdf
10.5281/zenodo.14017361,https://doi.org/10.5281/zenodo.14017361,https://zenodo.org/records/14017361,True,2,2,0,0,0,2,2,True,False,0,0,False,True,cc-by-sa-4.0,True,True,True,True,True,True,True,True,2024-10-31T11:55:26.437632+00:00,False,NA,0,0,True,False,PS2.3_Zeneli_TPV15.pdf
10.5281/zenodo.14017380,https://doi.org/10.5281/zenodo.14017380,https://zenodo.org/records/14017380,True,3,1,0,0,0,3,1,False,False,0,1,False,True,cc-by-4.0,False,True,True,False,False,True,False,True,2024-10-31T11:49:41.074615+00:00,True,{'type': 'accepted'},0,1,True,False,"4.- BANNER_VINCHUCA  transmision chagas (0,80mts. X 1,5mts).pdf"
10.5281/zenodo.14017335,https://doi.org/10.5281/zenodo.14017335,https://zenodo.org/records/14017335,True,3,1,0,0,0,3,1,False,False,0,0,False,True,cc-by-4.0,False,True,True,False,False,True,False,True,2024-10-31T11:37:04.029731+00:00,True,{'type': 'accepted'},0,0,True,False,"3.- BANNER_VINCHUCA  revoque (0,80mts. X 1,5mts).pdf"
10.5281/zenodo.14017314,https://doi.org/10.5281/zenodo.14017314,https://zenodo.org/records/14017314,True,1,1,0,0,0,1,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T11:26:58.085957+00:00,False,NA,0,0,True,False,MLTC_Symposium_Poster_SalisuOlatunji_MLTC healthcare access during COVID19.pdf
10.5281/zenodo.14017283,https://doi.org/10.5281/zenodo.14017283,https://zenodo.org/records/14017283,True,3,3,0,0,0,3,1,False,False,0,0,True,True,cc-by-4.0,False,True,True,False,False,True,False,True,2024-10-31T11:25:32.944534+00:00,True,{'type': 'accepted'},0,0,True,False,"2.- BANNER_VINCHUCA_vivir_sin (0,80mts. X 1,5mts).pdf"
10.5281/zenodo.14017304,https://doi.org/10.5281/zenodo.14017304,https://zenodo.org/records/14017304,True,1,1,0,0,0,1,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T11:25:00.190395+00:00,False,NA,0,0,True,False,MLTC_Symposium_Poster_Manyara_ Multimorbidity across 3 African Countries.pdf
10.5281/zenodo.14017292,https://doi.org/10.5281/zenodo.14017292,https://zenodo.org/records/14017292,True,1,1,0,0,0,1,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T11:23:26.857894+00:00,False,NA,0,0,True,False,MLTC_Symposium_Poster_Ali_Children with rare genetic variants.pdf
10.5281/zenodo.14017205,https://doi.org/10.5281/zenodo.14017205,https://zenodo.org/records/14017205,True,3,1,0,0,0,3,1,False,False,0,0,True,True,cc-by-4.0,False,True,True,False,False,True,False,True,2024-10-31T11:10:00.344588+00:00,False,NA,0,0,True,False,"1.- BANNER_VINCHUCA (0,80mts. X 1,5mts)_reduit.pdf"
10.5281/zenodo.14015170,https://doi.org/10.5281/zenodo.14015170,https://zenodo.org/records/14015170,True,1,1,0,0,0,1,1,False,False,0,0,True,True,cc-by-4.0,True,True,True,True,True,True,True,True,2024-10-31T10:45:02.160646+00:00,True,"{'type': 'available', 'description': 'Date uploaded to Zenodo'}{'type': 'other', 'description': 'Date presented'}{'type': 'submitted', 'description': 'Date submitted to the organizer'}",0,0,True,False,2024-10-23 iam-validation IAM COMPACT - 20241020T2304.pdf
10.5281/zenodo.14011858,https://doi.org/10.5281/zenodo.14011858,https://zenodo.org/records/14011858,True,1,0,0,0,0,1,0,True,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T09:52:34.816621+00:00,False,NA,0,0,True,False,241022_SECRETed_7th_Press_Release_Cluster2.pdf
10.5281/zenodo.14013487,https://doi.org/10.5281/zenodo.14013487,https://zenodo.org/records/14013487,True,7,7,0,0,0,7,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T07:43:50.358666+00:00,False,NA,0,0,True,False,Mabisi_Prebiotic_effect_Murambiwa_ICFD_27_03_24.pdf
10.5281/zenodo.14013696,https://doi.org/10.5281/zenodo.14013696,https://zenodo.org/records/14013696,True,6,6,0,0,0,6,0,True,False,0,0,True,True,cc-by-4.0,False,True,True,False,False,True,True,True,2024-10-31T07:39:35.363264+00:00,True,{'type': 'accepted'},0,0,True,False,MAXIMA_EPEi24 poster_web.pdf
10.5281/zenodo.14016119,https://doi.org/10.5281/zenodo.14016119,https://zenodo.org/records/14016119,True,18,18,0,0,0,18,8,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-31T07:26:48.248347+00:00,True,"{'type': 'collected', 'description': 'Presentation'}",0,0,True,False,Postersession-ESS2024.pdf
10.5281/zenodo.14014999,https://doi.org/10.5281/zenodo.14014999,https://zenodo.org/records/14014999,True,2,2,0,0,0,2,2,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T21:50:07.178445+00:00,False,NA,0,0,True,False,Z76_Pirali Di Martino Poster Notte della Ricerca 2024.pdf
10.5281/zenodo.14014997,https://doi.org/10.5281/zenodo.14014997,https://zenodo.org/records/14014997,True,1,1,0,0,0,1,1,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T21:45:14.698698+00:00,False,NA,0,0,True,False,Z75_Travagin_Poster IASOC_RM3.pdf
10.5281/zenodo.14014990,https://doi.org/10.5281/zenodo.14014990,https://zenodo.org/records/14014990,True,1,1,0,0,0,1,1,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T21:41:50.745487+00:00,False,NA,0,0,True,False,Z74_Boido_Neuroscience2024.pdf
10.5281/zenodo.14013741,https://doi.org/10.5281/zenodo.14013741,https://zenodo.org/records/14013741,True,2,2,0,0,0,2,1,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T21:29:49.599823+00:00,False,NA,0,0,True,False,2024_TEIconference_Poster_RevillaOrizaga.pdf
10.5281/zenodo.14014938,https://doi.org/10.5281/zenodo.14014938,https://zenodo.org/records/14014938,False,1,1,0,0,0,1,0,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T21:20:04.059852+00:00,False,NA,0,0,True,False,
10.5281/zenodo.14014931,https://doi.org/10.5281/zenodo.14014931,https://zenodo.org/records/14014931,True,1,1,0,0,0,1,1,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T21:10:57.990391+00:00,False,NA,0,0,True,False,Z70_Poster_European Research Night_September 2024.pdf
10.5281/zenodo.13984762,https://doi.org/10.5281/zenodo.13984762,https://zenodo.org/records/13984762,True,1,0,0,0,0,1,1,False,False,3,0,False,True,cc-by-4.0,True,True,True,False,False,True,True,True,2024-10-30T19:56:38.614364+00:00,False,NA,3,0,True,False,NAHSLConferencePoster2024Final_10152024.png
10.5281/zenodo.13849292,https://doi.org/10.5281/zenodo.13849292,https://zenodo.org/records/13849292,True,3,3,0,0,0,3,2,False,False,0,0,False,True,cc-by-4.0,False,True,True,False,False,True,True,True,2024-10-30T17:35:11.632680+00:00,False,NA,0,0,True,False,2024-08_GO_UNITE!_WEB_komprimiert.pdf
10.5281/zenodo.13871163,https://doi.org/10.5281/zenodo.13871163,https://zenodo.org/records/13871163,True,2,2,0,0,0,2,2,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T17:34:56.599085+00:00,False,NA,0,0,True,False,HZDR_Patchwork_Stewardship_Poster.pdf
10.5281/zenodo.13986849,https://doi.org/10.5281/zenodo.13986849,https://zenodo.org/records/13986849,True,3,0,0,0,0,3,0,False,False,0,0,True,True,cc-by-4.0,False,True,True,False,False,True,False,True,2024-10-30T17:34:47.313688+00:00,True,{'type': 'accepted'},0,0,True,False,Data Stewardship a multilevel model.pdf
10.5281/zenodo.14013606,https://doi.org/10.5281/zenodo.14013606,https://zenodo.org/records/14013606,True,5,5,0,0,0,5,5,False,False,0,0,True,True,cc-by-4.0,True,True,True,True,True,True,True,True,2024-10-30T16:02:29.994227+00:00,False,NA,0,0,True,True,oat24_oa_brandenburg.pdf
10.5281/zenodo.14013729,https://doi.org/10.5281/zenodo.14013729,https://zenodo.org/records/14013729,True,1,1,0,0,0,1,1,False,False,0,0,True,True,cc-by-4.0,True,True,True,True,False,True,True,True,2024-10-30T15:48:17.355355+00:00,False,NA,0,0,True,False,WDS_ECR_AGU2024_Poster.pdf
10.5281/zenodo.14013783,https://doi.org/10.5281/zenodo.14013783,https://zenodo.org/records/14013783,True,6,6,0,0,0,6,0,True,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T15:37:36.891834+00:00,False,NA,0,0,True,False,UNICT Agrosym conference presentation.pdf
10.5281/zenodo.14013586,https://doi.org/10.5281/zenodo.14013586,https://zenodo.org/records/14013586,True,1,0,0,0,0,1,1,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2024-10-30T15:00:23.363242+00:00,False,NA,0,0,True,False,PosterBI+SEA2024.pdf
